Position,Company,Location,URL
full details of Software Developer - AI Trainer (Contract),DataAnnotation,Remote,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiNuchFC0m8cW3xhYGYGvzuZD2aqzbjtxvIg5bJYAI6jKo04153-6TRH93UFgWeaXbIz65Au63-nWLaOWJ9oJXbDBQdm8YmPyOCQAdAtx1XIVT3HZeggQWI45k1_sPiYVlJykSjLvP2S9NYNdjB76oHWUtbgFj006BUyi-Ul_gJwIs2r-p5DnHypqOPIptbW5BKF9twQ3INx4wON-6NgUQMCG9ASy90pNZNsb4Ur-HLGfoy8R4fjlIU7Z9ZCUP-yMcdxrWgoLZwcciMaRuUHQDHhzh3Wt6gjoj1N_BDuula9tBe9H0jrdpMXpQuw2gM8-fSA76TVg2ZNORnovqaa0iLjRrHztm3y4e-lU9G_mZVDVOBHeSPJoDdNw5x9LvrfpT9ViFmOp7pf6QW3pNvK4OWMikiD_cbzgSMbh4hQ4qyH-o1lFyJ3vHtKt7yha2E0frOJZ-rc2RCLUqoTy4k4VEDWWywDzWcmZcp2Dd5J9x5dtzV4RKtscNhXMnRN4wqH7VVUISmeCSIcROS7szYESNm8ni8i-QBTEkUkSXiGR3a56C-B2TSxEC5TL9wHAxn-t3b7APd2xtTHMWCUHcru4rSx2TNoxvzKaVXN0mg7YaRbX4ZSl1egZPZsZ7IZV_uTuoX6FR2Lg2YfkfqE2ic-CaeCIqlYmZncaxOIUFUAQokVY6EsdsyDzwdO_ONcUN8gtCguulEpjAmjlWgTkHr3dtbmXPMCULKoA6w==&xkcb=SoBB6_M3G7IioozOhJ0LbzkdCdPP&p=0&fvj=1&vjs=3
full details of Quantitative Analyst (PhD Required),NumerixS Quant,Vancouver  BC,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALBb9kDttT93lYFknl4zg6MNuczWCvXzCH9PtfccZ0oMRmomWDxJh2ry3oQO0pMl3kN1AOc7hswWGSyjHpvJcey5DhDJOBwx90j0gCnKfJKoMbFvDiNd0SpSVm4OPy42WJDSXDDSl1C9dv9vq7Nm0XRHOn67MqE3SO4bxIuijqYdgTn8tZnblreIAbIFvYGn6KPWpRBIKCWnqDInMYPai2ZQjbnd3H2pYAtdzPel00tbVjD6CJlrFxCaFzn0ea9b2MzXHaG94R_f93k2d4GvQQKZaScAXraWxWaw_Ayp68HXdqnq_Koa4mAQDJrw5fGOuskTWyUQMBITBtZvbOwr_Quo2wy8kihHATfSd8M2X-rfkDd8--adORsJ7ht701JxbxfvS-iZkOhVvZ8y08C0gdjz_TWAv8KmZlrN2ZBM8Myqxew-7zSSsgaVncOvN10z6FiTr3sc74EsGoAtksXDVsctImitKA1W7zmblJsXKY_ZySLbcyBE4mvsDfvszLlgbQOz-eqaDNhxNDbQd9EjoWa3QmnpMUMyFVp9paJR540FixnwrQYFn08hzNFu-fSwyBmvopb_4X6w==&xkcb=SoD16_M3G7IioozOhJ0KbzkdCdPP&p=1&fvj=1&vjs=3
full details of Coordinateur des opérations de cybersécurité (H/F),IBM - Usine de Bromont,Hybrid remote in Bromont  QC,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AzvFaiuQOhXZj0swi-ufy8HJzHCDyDjeb2Hkw23Xy-ifyknC7VvyDQKrRhXgx1OSPUWdoS9HVITBp0mrQe6B4bO6G2wbxp_3wnesv-JGwLCpuDlSL_5vmKo-NJTHLjmZcruwRrIf0-jNDQVKYvddeZDHLPe8vXpPhuFEyjz6YE2aarrFCl0HojpRrVNBndq5iMCZPpkOz1USLb4flu9A_smZvtX1JR0OA4CplDSSsOvcnnRjOPb6iobxcv1LOya6R-Z9xCcJKgBlqI0oPb7qgIvDvPbhdNaPYLWn35G_Y_sB-poUZgqhnTLJdhbpmk-V7Edrg6fF1YuB18TEqt0G2uhBgOkaPRJAI7T4xdOizNlsAZvfkXgudFfS6EgrqZe-35lT0glBBycnS__L4zoQjGCzrWoHOf3Xm530n5-Hj6hb04CWoo3vEIOZtV-0Oz6IbRBr7LwPOhuz5xUTYm-4xEXoD8J6QMq8ojyJ2p1bz1N_tjxHbVP9wJE_CMIEt1gCaB3G12HcPSkCDVuwxrzylM4ucH8M1D3JCsnEbJmMeo0xcOpzwEvj6HIMs2140t2xWzuN3PStwZA5QpDWnqaUr1JtMczqg0Dasp44p0jsDEjgEHkjGOUFk2pCzk32I5WS4B3F9betZyAvNVdjhdUt9oYsTQ9Jqzd4MhHvE9AS27g7YXB5p2pmsbENp6pQPas-c7S24HeVg5mA==&xkcb=SoBo6_M3G7IioozOhJ0JbzkdCdPP&p=2&fvj=1&vjs=3
full details of Administrateur télécom,Beneva,Quebec City  QC,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6oL8nVCDJB54u4sLNmNsjk7i9pjgzEsVJ-T2taBGryK5k4EO45ogeCvy469U8N2KUXkd3yReBzCnnmCtzgQw7hwFne1_pMtvesbeJLL0po01RxXCA0xjq8yKnAfrVjmaQBE-If_lYpWjjfjkUbKnOQAXj4PuOVBXvX7-uK3Fe3ATUhR2b-PQ90hGwVrzGkwWoM6kDCsk4OCoZbDlcgZHKaMTYmq7LkHKKC9wGxyP5U_5FtAbBNGY3lsM1TKquW5NrYYUDz7DXXJSQwt5__ht1--CHx_YKFjKFcQTaqAy2ILfPFu6Td9aiD4J-pK8dTnXBvBb9-cOXiPxX_TtFviDHo_HY-Fd4bVWHXq1_8lVS6hGu9_sVbItGxgZ8f9NHEVZ93a7CxeB9hj7HNI2AsK8lVKDMQmjJId7cuM_hstxip7NWVIxN9A3uKvOy0E5HmhpOnvbLOOd-jvsBeVQ-vF0wkE5Fle7wksiV02BxE-nkGPKvvY0VAn2gCvWOZTgqcJI7BWMBh2U1HkVro48ngLhPjdF2qbXVBXlqYUZbRQXbLmlHVlo_xyyA1hmNP8Ikxq8zioCyHAd1E-h2n6jhnkv_RMJgbiOEIFBBr2AVTAPxF5CY-sRwYQ66hLi2kROWgVIqnmCBvxzgYQaC_pVFigmrSECU2OxEFlntZbdickTuBtiZbv1r-rODt7X8Ub23cDHroXxDSBd6WZkz7O7m-zub9kupPdM7_mGRh7Pk0XlrptTfROC3JBlPXSeXnGQAczA=&xkcb=SoDc6_M3G7IioozOhJ0IbzkdCdPP&p=3&fvj=0&vjs=3
full details of Lab Technologist - Data Analytics,Ace Acumen Academy,Toronto  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlZmJZ6VSOEnfvetWGeJprKUa3dB_LslDVI5nEGelJ9QhIki5bZ1qxLzvGsozHzHCDdeUzH7YBpwRbTFM7BcZ-A7mcwbchhxSNsMnKcA9KrZjumuKjqAqMKCWRcNNRTHXtdLEdwzWnd4THa8AfNDqF7RT_kPZRa1TPe5tBX3RA-pjQQXH4Gd8bgSdluQK_AYPUlPAnQMph4A7sX-fTmFrPM2-qOoWH5meaVM7q2Y8IJ1uDxl2pR8VvfPrOEajHY6_SSriMLKc4ELiYLLg8C4HpQIaC5fFAgHV-0E8ty7F4gf7SkmfQ5v4LihL7Blg1Obs6jykdpjONzV6QIpgfQlL0kB3XYu0wCNadoAbxscGbTLId92NtdRIz-sTyhO85_jG8VjzvqAV1aNsFuBitKFR3hCKPoIB69_jN6z-ZVzyruiok37lnLCOLoQEBLoo3lGSM6fV3u2H4MMn0ZAUHRQjbE9hIhlkDUhn_n-M_DJeXivb0PiFheaEvqQx_WeXBf4iEHnKIiZvar-xnQ7sYX9mTtx1wKl5hU3DP-jI5KQIGiWOjKd5QGSBmEyc8dfH0xUBlrWecfGiTs065_1XXqi-jHAw8n5_zJMb2c_i8wwmU4rh9sv6JJedn6O5npp2dB64NcpG7-Fm1RQ==&xkcb=SoBS6_M3G7IioozOhJ0PbzkdCdPP&p=4&fvj=1&vjs=3
full details of Python Developer - REMOTE,Software International,Remote in Toronto  ON,https://ca.indeed.com/rc/clk?jk=6c22b2a7797686fd&bb=Xur-TYgbjvvOAofvwi53UPoAEptjPqwvEtpBFRyPMsB2_Sg-nZHxIs2wbbAUWkPx5LJaHs8bbwlYPWxEe6KtU6j0nwxgus4iAZTLWxLN8JU%3D&xkcb=SoAS67M3G7IioozOhJ0ObzkdCdPP&fccid=991677c8d1dc29b5&vjs=3
full details of Python Developer,nmodes,Toronto  ON,https://ca.indeed.com/rc/clk?jk=4836fc79ca3741cf&bb=Xur-TYgbjvvOAofvwi53UGGOWOjlE5E1cQbKUbpdZk1fsXJ9L_a1gPPaF2lyvst1GEuqBPkdwxID95xmjw6zYJF33gk6zDVUBacfmYl6mB0%3D&xkcb=SoCP67M3G7IioozOhJ0NbzkdCdPP&fccid=eb342cf37d1aad3e&cmp=nmodes&ti=Python+Developer&vjs=3
full details of Jr. Data Scientist,Kojo,Remote,https://ca.indeed.com/rc/clk?jk=8b743aac4418d764&bb=Xur-TYgbjvvOAofvwi53UPGGz2W39cdFIsuUv_oXGKoRZznCaI3xvSIiR_4b2WBogDUNPRB1B1fBMZrW4dpEHWu6b9Zr7jLqSrawpPToLRw%3D&xkcb=SoA767M3G7IioozOhJ0MbzkdCdPP&fccid=1aabeea31fb437e9&vjs=3
full details of Full Stack Developer (Python/React/Django/PostgreSQL),SIGMA Assessment Systems  Ltd.,Remote,https://ca.indeed.com/rc/clk?jk=fc7596acff9bc104&bb=Xur-TYgbjvvOAofvwi53UCYEUvisfyt5-WvpBdfIkWJv2NIAwse_3LHyxJsJZrDVhEdUH1xcokevv9mzdqJvpkox6mzm9zJgP7fbs7PhYDk%3D&xkcb=SoDS67M3G7IioozOhJ0DbzkdCdPP&fccid=7e18b264ed05bcfe&cmp=SIGMA-Assessment-Systems%2C-Inc.&ti=Full+Stack+Developer&vjs=3
full details of Python Developer,Dawn InfoTek Inc.,Hybrid remote in Scarborough  ON,https://ca.indeed.com/rc/clk?jk=0b72ce92f7d37750&bb=Xur-TYgbjvvOAofvwi53UB59VVb-4Kl2q_lxiler31qJ3Ici27oLopYA4VNmDAJIQ-bM6XumRPOj4-8fe2I5MR-JLJdP2zAYEM_xn75QdnI%3D&xkcb=SoBm67M3G7IioozOhJ0CbzkdCdPP&fccid=b92bdfc2ac8613c3&cmp=www.dawninfotek.com&ti=Python+Developer&vjs=3
